id,content,source,fraud_type,risk_score,keywords_found,is_verified_fraud,created_at
1,"🚀 GUARANTEED 100% RETURNS IN 30 DAYS! 💰 Join our exclusive WhatsApp group for insider stock tips. Limited time offer - only 50 people! Call 9876543210 NOW!",WhatsApp,guaranteed_returns_scam,95.5,"guaranteed, 100% returns, insider tips, limited time, call now",true,2024-08-29 10:30:00
2,"SEBI Registered Advisor offering RISK-FREE investments with 200% profit guarantee! Transfer ₹50000 today to secure your slot. Hurry up!",Telegram,fake_advisor,87.3,"sebi registered, risk-free, profit guarantee, transfer money, hurry up",true,2024-08-29 08:15:00
3,"SECRET STOCK TIP from company insider! 🔥 Buy RELIANCE immediately for HUGE PROFITS! This tip is worth lakhs. DM for details.",Twitter,insider_trading_scam,92.1,"secret tip, company insider, huge profits, dm for details",true,2024-08-28 22:45:00
4,"Join 10000+ investors who became CROREPATIS overnight! 💸 Download our app and get FREE share worth ₹5000. Act fast before offer expires!",Facebook,unrealistic_promises,89.7,"crorepatis overnight, download app, free share, act fast",true,2024-08-28 16:20:00
5,"EXCLUSIVE IPO ALLOTMENT CONFIRMED! 🎯 Your shares are reserved. Transfer ₹2 lakhs to confirm allotment. Contact: invest@quickmoney.com",Email,fake_ipo_scam,94.2,"exclusive, allotment confirmed, transfer money, reserved shares",true,2024-08-28 14:10:00
6,"Government approved investment scheme! 🏛️ Invest ₹10000 and get ₹50000 in 60 days. SEBI certified advisor will guide you. Limited slots available!",WhatsApp,fake_credentials,88.4,"government approved, sebi certified, 50000 in 60 days, limited slots",true,2024-08-28 11:30:00
7,"URGENT: Market will crash tomorrow! 📉 Sell everything and buy our recommended stocks. Insider information from RBI official. Call immediately!",Telegram,market_manipulation,90.8,"market crash, sell everything, insider information, rbi official, call immediately",true,2024-08-27 20:15:00
8,"FREE TRADING COURSE worth ₹50000! Learn secret strategies used by billionaires. Only for first 100 people. WhatsApp +91-9988776655",Instagram,fake_course_scam,75.6,"free trading course, secret strategies, billionaires, only for first 100",false,2024-08-27 18:45:00
9,"MULTIBAGGER STOCK ALERT! 🚨 This stock will give 1000% returns in 3 months. Guaranteed by our expert team. Investment required: ₹1 lakh minimum.",WhatsApp,guaranteed_returns_scam,93.7,"multibagger, 1000% returns, guaranteed, expert team, minimum investment",true,2024-08-27 15:20:00
10,"Congratulations! You won ₹5 lakh in stock lottery! Claim your prize by paying processing fee of ₹5000. Transfer to Account: 1234567890",SMS,lottery_scam,96.1,"won 5 lakh, stock lottery, processing fee, transfer account",true,2024-08-27 12:40:00
11,"BREAKING: New cryptocurrency will make you rich! 💎 Early investors getting 500% returns. Limited pre-sale ends today. Invest minimum ₹25000",WhatsApp,crypto_scam,86.9,"cryptocurrency rich, 500% returns, limited pre-sale, minimum 25000",true,2024-08-27 09:25:00
12,"MUTUAL FUND SCAM EXPOSED! Don't invest in MFs. Our alternative scheme gives 300% returns. SEBI approved. Join telegram @richquick",Telegram,fake_alternative_investment,84.3,"mutual fund scam, 300% returns, sebi approved, join telegram",true,2024-08-26 21:10:00
13,"Bank FD gives only 6% return 😞 Our fixed deposit alternative gives 36% annual return. Government backed. No risk. Invest ₹50000 today!",Facebook,fake_fd_scheme,91.4,"fd gives only 6%, 36% annual return, government backed, no risk",true,2024-08-26 17:55:00
14,"PENNY STOCK MILLIONAIRE SECRET! 🤑 Turn ₹10000 into ₹10 lakhs in 6 months. Our algorithm never fails. Download app: MoneyMaker2024",Instagram,penny_stock_scam,88.2,"penny stock millionaire, 10000 into 10 lakhs, algorithm never fails",true,2024-08-26 14:30:00
15,"SHARE MARKET CRASH WARNING! 🚨 Protect your money with our gold investment scheme. 100% safe returns. Call our RBI licensed advisor now!",WhatsApp,fear_mongering_scam,79.5,"market crash warning, gold investment, 100% safe, rbi licensed",false,2024-08-26 11:45:00
