id,company_name,announcement_text,announcement_date,source,is_verified,verification_source,risk_score,created_at
1,Reliance Industries Limited,Reliance Industries announces bonus shares in ratio 1:1. Record date: 15th September 2024. Eligible shareholders will receive additional shares.,2024-08-25,BSE Official,True,BSE Website,15.2,2024-08-25 14:30:00
2,Infosys Limited,Infosys declares interim dividend of ₹18 per share. Ex-dividend date: 20th August 2024. Payment date: 30th August 2024.,2024-08-15,NSE Official,True,NSE Website,12.8,2024-08-15 16:45:00
3,Tata Consultancy Services,"TCS announces Q2 results: Revenue up 8.7% YoY, Net profit increases by 9.1%. Board recommends interim dividend of ₹22 per share.",2024-08-20,Company Press Release,True,TCS Investor Portal,18.5,2024-08-20 18:20:00
4,HDFC Bank Limited,HDFC Bank reports strong Q1 performance with 20% growth in net profit. NII grows by 15% compared to previous quarter.,2024-07-25,Company Filing,True,Stock Exchange,16.7,2024-07-25 19:10:00
5,Fake Corp Industries,URGENT: Fake Corp announces 500% bonus shares and ₹1000 dividend per share. Immediate effect. Contact for verification.,2024-08-28,Suspicious Source,False,Not Verified,94.5,2024-08-28 10:15:00
6,State Bank of India,SBI announces rights issue of 1:5 ratio at ₹400 per share. Issue opens on 5th September 2024. Last date for application: 20th September.,2024-08-22,RHP Filing,True,SEBI EDIFAR,14.3,2024-08-22 11:30:00
7,Bharti Airtel Limited,Bharti Airtel completes acquisition of OneWeb stake. Strategic investment to enhance satellite broadband services in India.,2024-08-18,Company Statement,True,Company Website,19.8,2024-08-18 15:25:00
8,Quick Money Corp,Breaking: Quick Money Corp to be acquired by Apple Inc for $50 billion. Stock price expected to jump 2000%. Buy immediately!,2024-08-29,Fake News Portal,False,Unverified Source,96.8,2024-08-29 09:45:00
9,Asian Paints Limited,Asian Paints announces expansion plans for new manufacturing facility in Gujarat. Investment of ₹1500 crores over 3 years.,2024-08-21,Press Conference,True,Company IR,21.4,2024-08-21 12:15:00
10,Maruti Suzuki India Limited,Maruti Suzuki launches new electric vehicle model. Expected to capture 15% market share in EV segment by 2025.,2024-08-19,Product Launch Event,True,Company News,17.9,2024-08-19 14:40:00
11,Wonder Mining Ltd,Wonder Mining discovers world's largest gold reserve in Rajasthan. Stock to be multibagger. Government clearance pending.,2024-08-28,Unverified Blog,False,No Official Source,89.7,2024-08-28 16:20:00
12,ITC Limited,ITC reports highest ever quarterly profit of ₹4500 crores. FMCG segment shows strong growth across all categories.,2024-08-17,Earnings Call,True,Company Results,20.1,2024-08-17 17:30:00
13,Wipro Limited,Wipro announces major deal worth $1.2 billion with European bank. Contract duration: 5 years with expansion possibilities.,2024-08-16,Company Press Note,True,Company Portal,16.5,2024-08-16 13:20:00
14,Miracle Pharma Inc,Miracle Pharma develops COVID cure with 100% success rate. FDA approval pending. Stock expected to rise 5000%.,2024-08-27,Suspicious Website,False,No FDA Record,97.2,2024-08-27 11:10:00
15,ONGC Limited,ONGC discovers new oil field in Krishna-Godavari basin. Estimated reserves: 200 million barrels. Production to start by 2025.,2024-08-23,Government Press Release,True,Ministry of Petroleum,22.7,2024-08-23 10:45:00
16,Larsen & Toubro Limited,L&T secures major infrastructure project worth ₹15000 crores for Mumbai Metro expansion. Project duration: 4 years.,2024-08-20,Contract Announcement,True,Mumbai Metro Corp,18.8,2024-08-20 15:55:00
17,Super Growth Technologies,Super Growth Technologies partners with NASA for space mission. Stock to become next Tesla. Limited time to invest!,2024-08-26,Fake Press Release,False,NASA Denial,93.4,2024-08-26 14:25:00
18,Coal India Limited,Coal India announces dividend of ₹25 per share and bonus issue in 2:1 ratio. Board meeting scheduled for final approval.,2024-08-24,Board Resolution,True,Stock Exchange Filing,15.9,2024-08-24 16:40:00
19,Bajaj Finance Limited,Bajaj Finance expands into rural markets with new microfinance initiatives. Plans to add 500 branches in FY25.,2024-08-19,Strategy Announcement,True,Company IR Presentation,19.3,2024-08-19 12:50:00
20,Instant Rich Ltd,Instant Rich Ltd announces merger with Amazon India. Shareholders to receive Amazon shares. Immediate 1000% gain expected.,2024-08-25,Fake News Site,False,Amazon Denial,95.1,2024-08-25 08:30:00
21,Coal India Limited,Coal India Limited announces Orchestrate open-source portals worth ₹11405 crores. Project timeline: 1 years.,2024-05-30,Government Press Release,True,Company IR,20.0,2024-05-30 17:57:00
22,Hindustan Unilever Limited,Hindustan Unilever Limited announces Streamline user-centric mindshare worth ₹1430 crores. Project timeline: 3 years.,2023-09-29,Contract Announcement,True,Company IR,24.5,2023-09-29 14:41:00
23,Hindustan Unilever Limited,Hindustan Unilever Limited announces Integrate 24/365 relationships worth ₹3419 crores. Project timeline: 4 years.,2023-11-20,Board Resolution,True,BSE Website,23.4,2023-11-20 18:15:00
24,Hindustan Unilever Limited,Hindustan Unilever Limited announces Revolutionize collaborative architectures worth ₹19265 crores. Project timeline: 1 years.,2024-11-15,Board Resolution,True,Company Portal,18.0,2024-11-15 18:33:00
25,Coal India Limited,Coal India Limited announces Drive front-end communities worth ₹14311 crores. Project timeline: 5 years.,2023-09-24,Government Press Release,True,NSE Website,22.4,2023-09-24 16:34:00
26,Adani Enterprises Limited,Adani Enterprises Limited announces Re-contextualize turn-key portals worth ₹14660 crores. Project timeline: 4 years.,2023-09-30,Company Press Release,True,RBI Circular,20.0,2023-09-30 17:39:00
27,Miracle Pharma Inc,BREAKING: Miracle Pharma Inc promises 4480% guaranteed returns in 12 months. Immediate investment advised!,2024-05-23,Telegram Channel,False,No Record,98.2,2024-05-23 12:25:00
28,Coal India Limited,Coal India Limited announces Target integrated architectures worth ₹6025 crores. Project timeline: 1 years.,2024-08-22,Government Press Release,True,Company IR,12.5,2024-08-22 18:43:00
29,State Bank of India,State Bank of India announces Leverage mission-critical e-services worth ₹1624 crores. Project timeline: 5 years.,2024-02-27,Earnings Call,True,RBI Circular,14.6,2024-02-27 12:55:00
30,Hindustan Unilever Limited,Hindustan Unilever Limited announces Disintermediate web-enabled roi worth ₹11532 crores. Project timeline: 5 years.,2025-03-03,Earnings Call,True,SEBI EDIFAR,10.0,2025-03-03 14:18:00
31,Adani Enterprises Limited,Adani Enterprises Limited announces Harness back-end metrics worth ₹7421 crores. Project timeline: 3 years.,2024-08-23,Board Resolution,True,RBI Circular,12.4,2024-08-23 14:56:00
